t numerical exact
0 10 10
0.0125 8.93289 8.93005
0.025 7.98954 7.98452
0.0375 7.15544 7.1488
0.05 6.41783 6.41001
0.0625 5.7654 5.75677
0.075 5.18818 5.17904
0.0875 4.67739 4.66798
0.1 4.22525 4.21575
0.1125 3.8249 3.81547
0.125 3.47029 3.46104
0.1375 3.15607 3.14709
0.15 2.87753 2.86888
0.1625 2.63049 2.62222
0.175 2.41129 2.40342
0.1875 2.21666 2.20922
0.2 2.04375 2.03675
0.2125 1.89003 1.88346
0.225 1.75325 1.74711
0.2375 1.63145 1.62573
0.25 1.52288 1.51757
0.2625 1.42601 1.42108
0.275 1.33948 1.33492
0.2875 1.26209 1.25788
0.3 1.19278 1.1889
0.3125 1.13062 1.12705
0.325 1.07477 1.0715
0.3375 1.02452 1.02152
0.35 0.979215 0.976465
0.3625 0.938292 0.935776
0.375 0.901248 0.898949
0.3875 0.867638 0.865541
0.4 0.837073 0.835161
0.4125 0.809207 0.807465
0.425 0.783733 0.782148
0.4375 0.760384 0.758942
0.45 0.738919 0.737609
0.4625 0.71913 0.71794
0.475 0.70083 0.69975
0.4875 0.683855 0.682876
0.5 0.66806 0.667172
0.5125 0.653317 0.652512
0.525 0.639512 0.638783
0.5375 0.626545 0.625885
0.55 0.614328 0.613731
0.5625 0.602782 0.602242
0.575 0.591838 0.59135
0.5875 0.581436 0.580994
0.6 0.57152 0.57112
0.6125 0.562043 0.561682
0.625 0.552962 0.552636
0.6375 0.54424 0.543945
0.65 0.535843 0.535577
0.6625 0.527743 0.527502
0.675 0.519912 0.519694
0.6875 0.512328 0.512131
0.7 0.50497 0.504792
0.7125 0.49782 0.497659
0.725 0.490862 0.490716
0.7375 0.48408 0.483949
0.75 0.477464 0.477344
0.7625 0.471 0.470892
0.775 0.464678 0.46458
0.7875 0.458491 0.458402
0.8 0.452429 0.452348
